Grad,GeoID,Change_2005,Change_2006,Change_2007,Change_2008,Change_2009,Change_2010,TotalChange,Pop_2007,Pop_2008,Pop_2009,Pop_2010
Banja Luka,81,-10,-3,10,203,276,175,651,222400,223641,225123,226459
Banovići,45,59,129,81,81,90,87,527,25700,25732,25749,25786
Berkovići,128,6,-11,-9,5,-5,-10,-24,2774,2740,2740,2732
Bihać,57,113,110,102,138,79,100,642,61035,61191,61287,61358
Bijeljina,102,-251,-172,-313,-178,-60,-263,-1237,107176,107665,108305,108814
Bileća,129,-27,-62,-68,-34,-27,-42,-260,12008,11946,11877,11788
Bosanska Krupa,58,100,116,101,102,77,97,593,28241,28227,28137,28062
Bosanski Petrovac,59,-84,-83,-60,-77,-88,-60,-452,7907,7730,7601,7412
Bosansko Grahovo,5,-2,-4,-7,-5,-7,-2,-27,2111,2085,2102,2089
Bratunac,135,-59,6,-38,-39,4,-41,-167,22541,22400,22343,22235
Brčko Distrikt,1,147,170,158,15,,10,500,75628,75643,75664,75674
Breza,69,-39,-27,-10,2,-28,-36,-138,14763,14676,14594,14483
Brod,105,-37,-13,-69,-65,-55,-42,-281,20083,20011,19957,19885
Bugojno,11,14,29,14,4,25,4,90,37481,37359,37255,37209
Busovača,12,36,58,89,79,19,34,315,16114,16095,16073,16068
Bužim,60,157,122,115,135,148,128,805,17777,17838,17865,17911
Čajniče,114,-22,-26,-20,-27,-37,-39,-171,5154,5115,5079,5012
Čapljina,23,-94,-52,-144,-87,-128,-129,-634,23590,23433,23251,23050
Cazin,61,249,260,275,292,287,151,1514,62012,62252,62468,62510
Čelić,44,-23,-1,1,11,-11,-50,-73,14105,14081,14033,13945
Čelinac,80,-24,-22,-33,-28,-10,42,-75,17331,17245,17174,17126
Centar,35,-97,-102,-121,-40,-127,-94,-581,70143,70203,70099,69889
Čitluk,24,70,16,14,-41,-16,-14,29,15945,15932,15852,15761
Derventa,106,-71,-41,-33,-93,-63,-110,-411,42117,42004,41873,41709
Doboj,107,-173,-118,-234,-256,-330,-191,-1302,78590,78388,78101,77967
Doboj Istok,46,56,60,-1,52,41,25,233,10167,10197,10221,10243
Doboj Jug,70,23,26,27,34,10,21,141,4440,4476,4523,4529
Dobretići,13,-9,-3,-15,-1,-8,-11,-47,652,651,658,655
Domaljevac,32,-22,-12,-3,-22,-38,-26,-123,4472,4406,4297,4252
Donji Vakuf,14,37,22,36,14,0,-1,108,14195,14154,14070,13992
Donji Žabar,108,-39,-24,-33,-26,-25,-26,-173,2702,2672,2646,2663
Drvar,6,-79,-72,-69,-97,-76,-87,-480,11609,11462,11286,11196
Foča,115,-75,-73,-88,-75,-65,-112,-488,24810,24711,24584,24441
Foča - Ustikolina,2,-6,-17,-6,-5,-15,-12,-61,1831,1782,1760,1740
Fojnica,15,-49,-4,-11,-30,-14,-22,-130,12359,12222,12124,12016
Gacko,130,4,-16,-6,-16,-12,-6,-52,10215,10174,10129,10106
Glamoč,7,-17,-42,-51,-30,-34,-29,-203,4876,4776,4710,4660
Goražde,3,-26,-74,-99,-32,-31,-25,-287,30743,30383,30264,30123
Gornji Vakuf-Uskoplje,16,34,48,4,1,3,-1,89,19500,19376,19248,19112
Gračanica,47,141,193,200,248,150,188,1120,51705,51938,52113,52212
Gradačac,48,49,106,58,78,71,17,379,46142,46217,46244,46154
Gradiška,82,-188,-136,-189,-171,-171,-260,-1115,59909,59719,59571,59334
Grude,65,-32,-13,-42,-13,-23,-26,-149,15672,15558,15525,15465
Hadžići,36,72,122,91,109,13,46,453,22140,22379,22636,22727
Han Pijesak,121,-17,-21,-12,-31,-22,-13,-116,4714,4683,4643,4636
Ilidža,37,220,237,190,308,302,200,1457,52374,52896,53600,59271
Ilijaš,38,61,67,71,111,217,99,626,17572,17738,18048,18436
Istočna Ilidža,122,-69,-44,-29,-68,-29,-19,-258,16351,16451,16491,16578
