MetaCategory,Category,Position,min,max,avg
"Trgovina, Usluge",Trgovina,Account Manager,585,1513,968.89
"Trgovina, Usluge",Trgovina,Menadžer prodaje,600,2000,1170.03
"Trgovina, Usluge",Trgovina,Referent prodaje,471,1200,794.86
"Trgovina, Usluge",Trgovina,Predstavnik/agent prodaje,550,1417,901.69
"Trgovina, Usluge",Trgovina,Prodavaè u prodajnom objektu,350,717,513.5
"Trgovina, Usluge",Trgovina,Kasir,350,700,499.57
"Trgovina, Usluge",Trgovina,Referent nabavke,550,1308,885.1
"Trgovina, Usluge",Trgovina,Menadžer nabavke,650,2000,1149.04
"Trgovina, Usluge",Trgovina,Merchandiser,500,1442,826.77
"Trgovina, Usluge",Trgovina,Telemarketing operater,500,1000,732.65
"Trgovina, Usluge",Trgovina,Key Account Manager,800,2500,1460.66
"Trgovina, Usluge",Trgovina,Šef odjeljenja u prodajnom objektu,466,1000,718.34
"Trgovina, Usluge",Trgovina,Poslovoða prodajnog objekta,474,1200,802.93
"Trgovina, Usluge",Uslužna industrija,Frizer,400,643,485.57
"Trgovina, Usluge",Uslužna industrija,Vodoinstalater,500,700,610
"Trgovina, Usluge",Uslužna industrija,Toèilac goriva,378,800,549.55
"Trgovina, Usluge","Turizam, gastronomija, hotelijerstvo",Konobar,350,713,489.38
"Trgovina, Usluge","Turizam, gastronomija, hotelijerstvo",Kuhar,370,1000,612.78
"Trgovina, Usluge","Turizam, gastronomija, hotelijerstvo",Recepcioner,400,900,616.7
"Trgovina, Usluge","Turizam, gastronomija, hotelijerstvo",Supervizor prodavnice/prodaje,600,900,768.89
"Trgovina, Usluge","Turizam, gastronomija, hotelijerstvo",Turistièki vodiè,642,750,704.57
"Trgovina, Usluge","Turizam, gastronomija, hotelijerstvo",Barmen,370,750,508.5
"Trgovina, Usluge","Turizam, gastronomija, hotelijerstvo",Spremaèica,407,603,494.86
"Trgovina, Usluge","Turizam, gastronomija, hotelijerstvo",Turoperater,500,1070,737.83
"Trgovina, Usluge","Turizam, gastronomija, hotelijerstvo",Šef kuhinje,500,1200,850.73
"Trgovina, Usluge","Turizam, gastronomija, hotelijerstvo",Catering Manager,600,800,683.33
"Trgovina, Usluge",Osiguranje,Aktuar,1200,2625,1909.2
"Trgovina, Usluge",Osiguranje,Prodavaè/agent osiguranja,400,1012,634.21
"Trgovina, Usluge",Osiguranje,Likvidator/procjenitelj štete,595,1967,1265.28
"Trgovina, Usluge",Osiguranje,Direktor filijale,1000,1500,1205.29
"Trgovina, Usluge",Osiguranje,Procjenitelj rizika,950,1133,1026.25
"Trgovina, Usluge",Osiguranje,Administrator osiguranja,508,750,642.06
Prirodne nauke,"Medicina, farmacija, veterina",Farmaceut,1000,2000,1425.75
Prirodne nauke,"Medicina, farmacija, veterina",Ljekar,1000,2042,1410.85
Prirodne nauke,"Medicina, farmacija, veterina",Maser,400,1000,722.82
Prirodne nauke,"Medicina, farmacija, veterina",Medicinska sestra,600,1147,833.05
Prirodne nauke,"Medicina, farmacija, veterina",Medicinski/farmaceutski predstavnik prodaje,900,2208,1492.26
Prirodne nauke,"Medicina, farmacija, veterina",Socijalni radnik,750,1400,1038.7
Prirodne nauke,"Medicina, farmacija, veterina",Farmaceutski tehnièar,500,1000,696.71
Prirodne nauke,"Medicina, farmacija, veterina",Glavna medicinska sestra,800,1283,1035.71
Prirodne nauke,"Medicina, farmacija, veterina",Veterinar,707,1525,1020.61
Prirodne nauke,"Medicina, farmacija, veterina",Stomatolog,800,1800,1156.67
Prirodne nauke,"Medicina, farmacija, veterina",Stomatološki tehnièar,480,1000,652.52
Prirodne nauke,"Medicina, farmacija, veterina",Laboratorijski tehnièar,600,1000,824
Prirodne nauke,"Medicina, farmacija, veterina",Psihoterapeut,801,1350,1094.56
Prirodne nauke,"Medicina, farmacija, veterina",Veterinarski tehnièar,400,867,580
Prirodne nauke,"Medicina, farmacija, veterina",Menadžer farmaceutskih proizvoda,1525,3250,2260.11
Prirodne nauke,"Poljoprivreda, prehrambena industrija",Pekar,450,900,607.73
Prirodne nauke,"Poljoprivreda, prehrambena industrija",Mesar,497,1052,704.52
Prirodne nauke,"Poljoprivreda, prehrambena industrija",Specijalista za stoèarstvo,1000,1312,1152
Prirodne nauke,"Poljoprivreda, prehrambena industrija","Poljoprivredni inžinjer, agronom",514,1500,881.87
